 *                                      
 * hydrostatic:  btemp=  3.000E+07 bden=  1.500E+02
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
      1  0.000000000000E+00  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      2  1.000000000000E-16  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      3  1.100000000000E-15  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      4  1.110000000000E-14  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      5  1.111000000000E-13  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      6  1.111100000000E-12  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      7  1.111110000000E-11  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      8  1.111111000000E-10  3.000000E+07  1.500000E+02  6.417711E+15  3.563383E+01  1.002125E+01  2.561258E+01  8.750000E-01  0.000000E+00
      9  1.111111100000E-09  3.000000E+07  1.500000E+02  6.417711E+15  3.563384E+01  1.002125E+01  2.561259E+01  8.750000E-01  0.000000E+00
     10  1.111111110000E-08  3.000000E+07  1.500000E+02  6.417711E+15  3.563389E+01  1.002125E+01  2.561264E+01  8.750000E-01  0.000000E+00
     11  1.111111111000E-07  3.000000E+07  1.500000E+02  6.417711E+15  3.563440E+01  1.002125E+01  2.561315E+01  8.750000E-01  0.000000E+00
     12  1.111111111100E-06  3.000000E+07  1.500000E+02  6.417711E+15  3.563949E+01  1.002125E+01  2.561824E+01  8.750000E-01  0.000000E+00
     13  1.111111111110E-05  3.000000E+07  1.500000E+02  6.417711E+15  3.569038E+01  1.002125E+01  2.566913E+01  8.750000E-01  0.000000E+00
     14  1.111111111111E-04  3.000000E+07  1.500000E+02  6.417711E+15  3.619866E+01  1.002125E+01  2.617740E+01  8.750000E-01  0.000000E+00
     15  1.111111111111E-03  3.000000E+07  1.500000E+02  6.417711E+15  4.121424E+01  1.002125E+01  3.119298E+01  8.750000E-01  0.000000E+00
     16  1.111111111111E-02  3.000000E+07  1.500000E+02  6.417711E+15  8.522146E+01  1.002125E+01  7.520020E+01  8.750000E-01  0.000000E+00
     17  1.111111111111E-01  3.000000E+07  1.500000E+02  6.417711E+15  2.315650E+02  1.002125E+01  2.215437E+02  8.750000E-01  0.000000E+00
     18  4.727056991921E-01  3.000000E+07  1.500000E+02  6.417711E+15  2.458048E+02  1.002125E+01  2.357836E+02  8.750000E-01  0.000000E+00
     19  8.342678517191E-01  3.000000E+07  1.500000E+02  6.417711E+15  2.458184E+02  1.002125E+01  2.357971E+02  8.750000E-01  0.000000E+00
     20  4.449889376989E+00  3.000000E+07  1.500000E+02  6.417711E+15  2.458184E+02  1.002125E+01  2.357971E+02  8.750000E-01  1.110223E-16
     21  4.060610462969E+01  3.000000E+07  1.500000E+02  6.417711E+15  2.458184E+02  1.002125E+01  2.357971E+02  8.750000E-01  0.000000E+00
     22  4.021682571567E+02  3.000000E+07  1.500000E+02  6.417711E+15  2.458184E+02  1.002125E+01  2.357972E+02  8.750000E-01  1.110223E-16
     23  4.017789782426E+03  3.000000E+07  1.500000E+02  6.417711E+15  2.458186E+02  1.002126E+01  2.357973E+02  8.750000E-01 -2.220446E-16
     24  4.017400503512E+04  3.000000E+07  1.500000E+02  6.417711E+15  2.458208E+02  1.002154E+01  2.357992E+02  8.750000E-01 -2.220446E-16
     25  2.354457003259E+05  3.000000E+07  1.500000E+02  6.417711E+15  2.458492E+02  1.002990E+01  2.358193E+02  8.750000E-01 -1.110223E-15
     26  9.200594537748E+05  3.000000E+07  1.500000E+02  6.417711E+15  2.460807E+02  1.011315E+01  2.359675E+02  8.750000E-01 -1.554312E-15
     27  2.645191552173E+06  3.000000E+07  1.500000E+02  6.417711E+15  2.469064E+02  1.042231E+01  2.364841E+02  8.750000E-01 -1.998401E-15
     28  6.818004173367E+06  3.000000E+07  1.500000E+02  6.417712E+15  2.489954E+02  1.120773E+01  2.377876E+02  8.750000E-01 -2.664535E-15
     29  8.968815636131E+06  3.000000E+07  1.500000E+02  6.417713E+15  2.500707E+02  1.161203E+01  2.384586E+02  8.750000E-01 -2.442491E-15
     30  3.047693026378E+07  3.000000E+07  1.500000E+02  6.417718E+15  2.607404E+02  1.562249E+01  2.451180E+02  8.750000E-01 -2.220446E-15
     31  1.625592490625E+08  3.000000E+07  1.500000E+02  6.417753E+15  3.230462E+02  3.899704E+01  2.840492E+02  8.750000E-01 -2.664535E-15
     32  9.612901138927E+08  3.000000E+07  1.500000E+02  6.418056E+15  6.011559E+02  1.424248E+02  4.587311E+02  8.750000E-01 -3.108624E-15
     33  3.714251833191E+09  3.000000E+07  1.500000E+02  6.419675E+15  9.118516E+02  2.562745E+02  6.555772E+02  8.749998E-01 -3.552714E-15
     34  1.097212865990E+10  3.000000E+07  1.500000E+02  6.424606E+15  9.574788E+02  2.728480E+02  6.846308E+02  8.749992E-01 -4.218847E-15
     35  1.753408849549E+10  3.000000E+07  1.500000E+02  6.429099E+15  9.576658E+02  2.729161E+02  6.847497E+02  8.749987E-01 -5.107026E-15
     36  3.626777082596E+10  3.000000E+07  1.500000E+02  6.441927E+15  9.576604E+02  2.729148E+02  6.847456E+02  8.749973E-01 -5.107026E-15
     37  6.764501261378E+10  3.000000E+07  1.500000E+02  6.463412E+15  9.576492E+02  2.729119E+02  6.847373E+02  8.749948E-01 -5.107026E-15
     38  3.814174304919E+11  3.000000E+07  1.500000E+02  6.678251E+15  9.575371E+02  2.728827E+02  6.846545E+02  8.749706E-01 -4.662937E-15
     39  3.519141609273E+12  3.000000E+07  1.500000E+02  8.825209E+15  9.564169E+02  2.725904E+02  6.838265E+02  8.747285E-01 -5.107026E-15
     40  3.489638339709E+13  3.000000E+07  1.500000E+02  3.015259E+16  9.452798E+02  2.696703E+02  6.756095E+02  8.723227E-01 -4.662937E-15
     41  2.097184358468E+14  3.000000E+07  1.500000E+02  1.443933E+17  8.855707E+02  2.536497E+02  6.319210E+02  8.594227E-01 -4.218847E-15
     42  4.927579463190E+14  3.000000E+07  1.500000E+02  3.140790E+17  7.979331E+02  2.293436E+02  5.685895E+02  8.402327E-01 -3.996803E-15
     43  7.287434221717E+14  3.000000E+07  1.500000E+02  4.426808E+17  7.332633E+02  2.110190E+02  5.222444E+02  8.256757E-01 -3.552714E-15
     44  1.074266499419E+15  3.000000E+07  1.500000E+02  6.126979E+17  6.509420E+02  1.873919E+02  4.635501E+02  8.064244E-01 -2.220446E-15
     45  1.387782968673E+15  3.000000E+07  1.500000E+02  7.507461E+17  5.871692E+02  1.689353E+02  4.182339E+02  7.907941E-01 -2.220446E-15
     46  1.875994988536E+15  3.000000E+07  1.500000E+02  9.401079E+17  5.045993E+02  1.449153E+02  3.596840E+02  7.693640E-01 -1.776357E-15
     47  2.318913892775E+15  3.000000E+07  1.500000E+02  1.089554E+18  4.436479E+02  1.271326E+02  3.165154E+02  7.524650E-01 -1.998401E-15
