 *                                      
 * hydrostatic:  btemp=  3.000E+07 bden=  1.500E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
      1  0.000000000000E+00  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      2  1.000000000000E-16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      3  1.100000000000E-15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      4  1.110000000000E-14  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      5  1.111000000000E-13  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      6  1.111100000000E-12  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      7  1.111110000000E-11  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      8  1.111111000000E-10  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
      9  1.111111100000E-09  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
     10  1.111111110000E-08  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
     11  1.111111111000E-07  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
     12  1.111111111100E-06  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
     13  1.111111111110E-05  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.383534E+17  6.417711E+15  1.418116E+09  8.398373E+07
