 *                                      
 * hydrostatic:  btemp=  3.000E+07 bden=  1.500E+02
 *          time                h1            h2            he3           he4           li7           be7           b8   
      1  0.000000000000E+00  7.500000E-01  2.000000E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      2  1.000000000000E-16  7.500000E-01  2.007928E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      3  1.100000000000E-15  7.500000E-01  2.087209E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      4  1.110000000000E-14  7.500000E-01  2.880021E-30  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      5  1.111000000000E-13  7.500000E-01  1.080814E-29  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      6  1.111100000000E-12  7.500000E-01  9.008933E-29  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      7  1.111110000000E-11  7.500000E-01  8.829013E-28  3.000000E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      8  1.111111000000E-10  7.500000E-01  8.811021E-27  3.000018E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
      9  1.111111100000E-09  7.500000E-01  8.809221E-26  3.001778E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     10  1.111111110000E-08  7.500000E-01  8.809040E-25  3.177781E-30  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     11  1.111111111000E-07  7.500000E-01  8.809012E-24  2.077802E-29  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     12  1.111111111100E-06  7.500000E-01  8.808903E-23  1.780787E-27  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     13  1.111111111110E-05  7.500000E-01  8.807836E-22  1.777674E-25  2.500000E-01  7.000000E-30  7.000000E-30  8.000000E-30
     14  1.111111111111E-04  7.500000E-01  8.797180E-21  1.776210E-23  2.500000E-01  7.000000E-30  7.000001E-30  8.000000E-30
     15  1.111111111111E-03  7.500000E-01  8.691558E-20  1.761952E-21  2.500000E-01  7.000000E-30  7.001040E-30  8.000000E-30
     16  1.111111111111E-02  7.500000E-01  7.723344E-19  1.628517E-19  2.500000E-01  7.000000E-30  7.979937E-30  8.000000E-30
     17  1.111111111111E-01  7.500000E-01  3.051656E-18  8.636048E-18  2.500000E-01  7.000000E-30  6.070919E-28  8.000000E-30
     18  4.727056991921E-01  7.500000E-01  3.273443E-18  5.130484E-17  2.500000E-01  7.000000E-30  1.776092E-26  8.000000E-30
     19  8.342678517191E-01  7.500000E-01  3.273655E-18  9.430214E-17  2.500000E-01  7.000000E-30  5.960642E-26  8.000000E-30
     20  4.449889376989E+00  7.500000E-01  3.273655E-18  5.242783E-16  2.500000E-01  7.172875E-30  1.837323E-24  8.182866E-30
     21  4.060610462969E+01  7.500000E-01  3.273655E-18  4.824040E-15  2.500000E-01  1.506470E-29  1.555372E-22  3.320608E-28
     22  4.021682571567E+02  7.500000E-01  3.273655E-18  4.782165E-14  2.500000E-01  1.594813E-27  1.528133E-20  3.426317E-26
     23  4.017789782426E+03  7.500000E-01  3.273655E-18  4.777972E-13  2.500000E-01  1.594003E-25  1.521955E-18  3.429474E-24
     24  4.017400503512E+04  7.500000E-01  3.273655E-18  4.777494E-12  2.500000E-01  1.558279E-23  1.487319E-16  3.353095E-22
     25  2.354457003259E+05  7.500000E-01  3.273655E-18  2.799737E-11  2.500000E-01  4.752291E-22  4.535736E-15  1.022609E-20
     26  9.200594537748E+05  7.500000E-01  3.273655E-18  1.093808E-10  2.500000E-01  5.049386E-21  4.819269E-14  1.086540E-19
     27  2.645191552173E+06  7.500000E-01  3.273655E-18  3.142876E-10  2.500000E-01  2.203581E-20  2.103155E-13  4.741726E-19
     28  6.818004173367E+06  7.500000E-01  3.273655E-18  8.089287E-10  2.500000E-01  6.519110E-20  6.222005E-13  1.402800E-18
     29  8.968815636131E+06  7.500000E-01  3.273655E-18  1.063335E-09  2.500000E-01  8.740490E-20  8.342147E-13  1.880803E-18
     30  3.047693026378E+07  7.500000E-01  3.273655E-18  3.586973E-09  2.500000E-01  3.077598E-19  2.937337E-12  6.622459E-18
     31  1.625592490625E+08  7.500000E-01  3.273655E-18  1.829568E-08  2.500000E-01  1.592073E-18  1.519515E-11  3.425868E-17
     32  9.612901138927E+08  7.499999E-01  3.273654E-18  8.337819E-08  2.500000E-01  7.274909E-18  6.943358E-11  1.565435E-16
     33  3.714251833191E+09  7.499995E-01  3.273653E-18  1.550174E-07  2.500004E-01  1.353039E-17  1.291374E-10  2.911503E-16
     34  1.097212865990E+10  7.499984E-01  3.273648E-18  1.654454E-07  2.500015E-01  1.444106E-17  1.378289E-10  3.107456E-16
     35  1.753408849549E+10  7.499973E-01  3.273643E-18  1.654876E-07  2.500025E-01  1.444483E-17  1.378648E-10  3.108261E-16
     36  3.626777082596E+10  7.499944E-01  3.273631E-18  1.654850E-07  2.500054E-01  1.444485E-17  1.378648E-10  3.108247E-16
     37  6.764501261378E+10  7.499896E-01  3.273609E-18  1.654800E-07  2.500102E-01  1.444485E-17  1.378642E-10  3.108214E-16
     38  3.814174304919E+11  7.499411E-01  3.273398E-18  1.654309E-07  2.500587E-01  1.444479E-17  1.378585E-10  3.107882E-16
     39  3.519141609273E+12  7.494569E-01  3.271281E-18  1.649402E-07  2.505430E-01  1.444417E-17  1.378012E-10  3.104570E-16
     40  3.489638339709E+13  7.446454E-01  3.250245E-18  1.601565E-07  2.553545E-01  1.443689E-17  1.372198E-10  3.071472E-16
     41  2.097184358468E+14  7.188454E-01  3.137459E-18  1.370792E-07  2.811544E-01  1.436547E-17  1.337611E-10  2.889556E-16
     42  4.927579463190E+14  6.804653E-01  2.969701E-18  1.093644E-07  3.195346E-01  1.418294E-17  1.278250E-10  2.612864E-16
     43  7.287434221717E+14  6.513514E-01  2.842464E-18  9.242767E-08  3.486485E-01  1.400194E-17  1.228983E-10  2.403946E-16
     44  1.074266499419E+15  6.128489E-01  2.674219E-18  7.414350E-08  3.871511E-01  1.372526E-17  1.160169E-10  2.134348E-16
     45  1.387782968673E+15  5.815882E-01  2.537640E-18  6.201356E-08  4.184117E-01  1.347713E-17  1.102201E-10  1.923644E-16
     46  1.875994988536E+15  5.387279E-01  2.350412E-18  4.844857E-08  4.612720E-01  1.311325E-17  1.020687E-10  1.649365E-16
     47  2.318913892775E+15  5.049299E-01  2.202794E-18  3.974326E-08  4.950700E-01  1.280979E-17  9.552763E-11  1.446300E-16
     48  2.748372270487E+15  4.759577E-01  2.076271E-18  3.341194E-08  5.240423E-01  1.254062E-17  8.986475E-11  1.282101E-16
     49  3.227430757326E+15  4.473137E-01  1.951197E-18  2.801671E-08  5.526862E-01  1.226694E-17  8.422886E-11  1.129030E-16
     50  3.706754246833E+15  4.219007E-01  1.840244E-18  2.385019E-08  5.780993E-01  1.201779E-17  7.920548E-11  1.001104E-16
     51  4.247256647045E+15  3.964939E-01  1.729331E-18  2.019340E-08  6.035061E-01  1.176286E-17  7.416677E-11  8.807276E-17
     52  4.792361484186E+15  3.737891E-01  1.630222E-18  1.730684E-08  6.262109E-01  1.152961E-17  6.965348E-11  7.795764E-17
     53  5.407487867410E+15  3.510986E-01  1.531187E-18  1.474347E-08  6.489014E-01  1.129111E-17  6.513573E-11  6.845913E-17
